,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
189,marawi,PH,2023-02-03 22:36:40,7.9986,124.2928,100,66,77.91799999999998,2.96
190,praia da vitoria,PT,2023-02-03 22:36:40,38.7333,-27.0667,20,94,61.03399999999999,2.68
191,arraial do cabo,BR,2023-02-03 22:35:35,-22.9661,-42.0278,98,91,75.39800000000002,7.89
192,vardo,NO,2023-02-03 22:36:41,70.3705,31.1107,75,73,19.651999999999973,8.23
193,pochutla,MX,2023-02-03 22:36:41,15.7432,-96.4661,6,63,75.092,1.21
194,kande,TG,2023-02-03 22:36:41,9.9578,1.0447,49,20,74.642,1.04
195,naze,JP,2023-02-03 22:36:42,28.3667,129.4833,100,66,60.188000000000045,5.72
196,madang,PG,2023-02-03 22:36:42,-5.2246,145.7966,100,60,87.02599999999998,1.84
197,veraval,IN,2023-02-03 22:36:42,20.9,70.3667,2,34,77.9,2.46
198,joniskis,LT,2023-02-03 22:36:43,56.2403,23.6153,100,91,25.988000000000046,4.6
199,brigantine,US,2023-02-03 22:35:59,39.4101,-74.3646,0,38,19.291999999999994,11.32
200,kokstad,ZA,2023-02-03 22:36:43,-30.5472,29.4241,67,92,60.530000000000044,1.24
201,rockland,US,2023-02-03 22:33:07,41.1668,-74.0496,88,49,11.3,0.45
202,klyuchi,RU,2023-02-03 22:36:21,52.2667,79.1667,69,96,2.2640000000000313,1.51
203,trincomalee,LK,2023-02-03 22:36:44,8.5711,81.2335,39,82,80.07799999999997,5.6
204,atlantis,ZA,2023-02-03 22:36:44,-33.5667,18.4834,0,62,64.25600000000003,1.3
205,kralendijk,BQ,2023-02-03 22:36:44,12.15,-68.2667,75,78,77.25199999999998,5.66
206,henties bay,NA,2023-02-03 22:36:45,-22.116,14.2845,100,87,63.842,1.97
207,turmalina,BR,2023-02-03 22:36:45,-17.2856,-42.73,6,93,65.55199999999998,0.54
208,juegang,CN,2023-02-03 22:36:45,32.3174,121.1855,3,48,44.582000000000015,3.89
209,kjollefjord,NO,2023-02-03 22:36:46,70.9457,27.3465,100,68,26.924000000000014,6.17
210,grand river south east,,,,,,,,
211,tigil,RU,2023-02-03 22:36:46,57.8,158.6667,13,96,-2.8480000000000274,0.39
212,flinders,AU,2023-02-03 22:36:46,-34.5833,150.8552,0,38,80.45600000000003,5.36
213,petropavlovsk-kamchatskiy,RU,2023-02-03 22:36:47,53.0452,158.6483,0,46,22.064000000000032,3
214,takoradi,GH,2023-02-03 22:36:47,4.8845,-1.7554,37,88,78.99800000000002,2.57
215,richards bay,ZA,2023-02-03 22:36:47,-28.783,32.0377,34,90,73.20199999999997,2.02
216,shirokiy,RU,2023-02-03 22:36:49,49.758,129.523,87,88,1.1299999999999883,1.16
217,bababe,,,,,,,,
218,tual,ID,2023-02-03 22:36:49,-5.6667,132.75,100,81,81.71600000000001,7.21
219,oxapampa,PE,2023-02-03 22:36:49,-10.5775,-75.4017,100,98,58.190000000000026,0.62
220,samusu,,,,,,,,
221,touros,BR,2023-02-03 22:34:03,-5.1989,-35.4608,100,73,79.53800000000004,5.38
222,queanbeyan,AU,2023-02-03 22:36:50,-35.35,149.2333,40,52,66.74000000000002,10.8
223,bam,IR,2023-02-03 22:36:50,29.106,58.357,1,50,57.01999999999996,1.17
224,eydhafushi,MV,2023-02-03 22:36:50,5.1033,73.0708,92,72,80.618,2.41
225,kovur,IN,2023-02-03 22:36:51,14.4833,79.9833,1,54,83.49800000000002,3.87
226,iskateley,RU,2023-02-03 22:36:51,67.6803,53.1512,86,100,4.4599999999999795,3.18
227,roald,NO,2023-02-03 22:36:51,62.5833,6.1333,100,60,38.030000000000044,5.14
228,arlit,NE,2023-02-03 22:35:54,18.7369,7.3853,22,18,66.01999999999995,3.29
229,ondjiva,AO,2023-02-03 22:36:52,-17.0667,15.7333,100,67,70.10600000000002,1.45
230,port macquarie,AU,2023-02-03 22:35:30,-31.4333,152.9167,0,34,81.15800000000002,5.54
231,castro,BR,2023-02-03 22:36:52,-24.7911,-50.0119,100,98,64.77799999999996,3.03
232,nyurba,RU,2023-02-03 22:36:53,63.2842,118.3319,100,92,-19.73200000000002,1.7
233,galesong,ID,2023-02-03 22:36:53,-5.3166,119.3661,100,81,86.28800000000004,1.73
234,weiser,US,2023-02-03 22:36:53,44.251,-116.9693,99,89,34.26799999999999,2.06
235,muroto,JP,2023-02-03 22:36:54,33.2833,134.15,95,53,52.30399999999995,4.12
236,sembakung,ID,2023-02-03 22:36:54,3.8167,117.25,100,55,88.60999999999999,1.36
237,linares,CL,2023-02-03 22:36:54,-35.85,-71.6,0,69,64.11199999999997,1.22
238,lakota,CI,2023-02-03 22:36:55,5.8528,-5.6883,35,94,73.36400000000003,0.94
239,chokurdakh,RU,2023-02-03 22:36:55,70.6333,147.9167,97,100,-21.028000000000013,3.64
240,avarua,CK,2023-02-03 22:34:53,-21.2078,-159.775,40,78,82.72400000000002,6.69
241,port hawkesbury,CA,2023-02-03 22:36:55,45.6169,-61.3485,100,80,-2.3440000000000225,10.8
242,ascension,US,2023-02-03 22:36:56,30.2169,-90.9001,0,68,49.280000000000044,2.06
243,ahuimanu,US,2023-02-03 22:36:56,21.4447,-157.8378,75,84,78.78200000000001,3.6
